,q_U234,q_U235,q_U236,q_U237,q_U238,q_Np237,q_Np238,q_Np239,q_Pu238,q_Pu239,q_Pu240,q_Pu241,q_Pu242,q_Am241,q_Am242M,q_Am243,q_Cm242,q_Cm243,q_Cm244,q_Cm245,q_residual,q_I135,q_Xe135,q_Nd147,q_Nd148,q_Pm147,q_Pm148,q_Pm148M,q_Pm149,q_Sm149,q_Gd154,q_Gd155,q_Gd156,q_Gd157,q_Gd158,q_Gd160,q_Eu157,q_Rh103,q_Ru103,q_Eu153
8_3,1.488642e-06,0.000167123471,3.612707e-06,9.948e-09,0.006705066175,5.4509e-08,1.1e-10,3.81753e-07,1.084e-09,7.094828e-06,3.44169e-07,3.6803e-08,6.59e-10,9.1e-11,0.0,6e-12,3e-12,0.0,0.0,0.0,1,4.796e-09,1.954e-09,6.6237e-08,2.53869e-07,2.43159e-07,9.27e-10,1.285e-09,6.932e-09,1.4194e-08,5e-12,2.3e-11,3.623e-09,1.36e-10,2.323e-09,1.42e-10,2.8e-11,2.15034e-07,2.74135e-07,2.6328e-08
31_3,9.2666e-07,4.6100515e-05,2.2957527e-05,4.2917e-08,0.006557929431,2.26709e-06,5.865e-09,4.88188e-07,7.49731e-07,3.40762e-05,1.4911602e-05,7.997168e-06,3.165063e-06,2.43861e-07,4.598e-09,5.29695e-07,8.4737e-08,1.617e-09,1.4034e-07,6.143e-09,1,4.623e-09,1.743e-09,6.2347e-08,3.615658e-06,1.851673e-06,9.086e-09,1.2832e-08,1.0308e-08,1.8328e-08,1.6334e-08,5.28e-10,6.29194e-07,8.11e-10,1.65906e-07,1.7583e-08,1.55e-10,6.482693e-06,5.83079e-07,1.102838e-06
7_0,1.501126e-06,0.000171100095,2.91607e-06,8.851e-09,0.006707555201,3.5804e-08,7.1e-11,3.80419e-07,5.02e-10,5.325172e-06,1.93938e-07,1.5313e-08,1.99e-10,2.8e-11,0.0,1e-12,1e-12,0.0,0.0,0.0,1,4.802e-09,1.944e-09,6.5114e-08,1.87164e-07,1.67303e-07,6e-10,7.92e-10,6.812e-09,1.3861e-08,2e-12,1.6e-11,2.047e-09,1.18e-10,1.524e-09,9.1e-11,2.5e-11,1.2812e-07,2.28999e-07,1.8272e-08
33_4,8.66668e-07,3.8221891e-05,2.3870858e-05,4.5224e-08,0.00653630257,2.584677e-06,6.859e-09,5.01052e-07,9.712e-07,3.4485662e-05,1.6297972e-05,8.774251e-06,4.024218e-06,2.82335e-07,5.389e-09,7.51823e-07,1.07091e-07,2.302e-09,2.30588e-07,1.1055e-08,1,4.608e-09,1.701e-09,6.2066e-08,4.040045e-06,1.885316e-06,9.451e-09,1.308e-08,1.0522e-08,1.8197e-08,2.2121e-08,6.24e-10,8.31178e-07,9.18e-10,2.06549e-07,2.1897e-08,1.73e-10,7.132273e-06,5.97406e-07,1.268544e-06
23_0,1.195785e-06,9.2253011e-05,1.6273482e-05,2.9971e-08,0.006638250883,9.60719e-07,2.214e-09,4.32267e-07,1.53475e-07,2.89283e-05,7.713454e-06,3.653236e-06,6.33722e-07,6.9719e-08,1.136e-09,5.2429e-08,1.4021e-08,1.29e-10,6.176e-09,1.49e-10,1,4.69e-09,1.922e-09,6.3883e-08,1.904001e-06,1.446024e-06,6.484e-09,9.887e-09,9.076e-09,1.816e-08,2.465e-09,1.94e-10,1.43732e-07,4.56e-10,5.1657e-08,4.851e-09,8.9e-11,3.416694e-06,5.05821e-07,4.44041e-07
1_2,1.535838e-06,0.000182630093,8.91083e-07,7.89e-10,0.006714330848,5.5e-11,0.0,1.20791e-07,0.0,2.4967e-08,4.4e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.658e-09,1.802e-09,5.495e-09,4.364e-09,2.33e-10,0.0,0.0,2.26e-09,4.68e-10,0.0,0.0,1e-12,9e-12,8e-12,1e-12,1.1e-11,9.4e-11,8.04e-09,8.3e-11
23_2,1.195785e-06,9.2253011e-05,1.6273482e-05,2.9971e-08,0.006638250883,9.60719e-07,2.214e-09,4.32267e-07,1.53475e-07,2.89283e-05,7.713454e-06,3.653236e-06,6.33722e-07,6.9719e-08,1.136e-09,5.2429e-08,1.4021e-08,1.29e-10,6.176e-09,1.49e-10,1,4.69e-09,1.922e-09,6.3883e-08,1.904001e-06,1.446024e-06,6.484e-09,9.887e-09,9.076e-09,1.816e-08,2.465e-09,1.94e-10,1.43732e-07,4.56e-10,5.1657e-08,4.851e-09,8.9e-11,3.416694e-06,5.05821e-07,4.44041e-07
23_3,1.195785e-06,9.2253011e-05,1.6273482e-05,2.9971e-08,0.006638250883,9.60719e-07,2.214e-09,4.32267e-07,1.53475e-07,2.89283e-05,7.713454e-06,3.653236e-06,6.33722e-07,6.9719e-08,1.136e-09,5.2429e-08,1.4021e-08,1.29e-10,6.176e-09,1.49e-10,1,4.69e-09,1.922e-09,6.3883e-08,1.904001e-06,1.446024e-06,6.484e-09,9.887e-09,9.076e-09,1.816e-08,2.465e-09,1.94e-10,1.43732e-07,4.56e-10,5.1657e-08,4.851e-09,8.9e-11,3.416694e-06,5.05821e-07,4.44041e-07
20_0,1.275807e-06,0.00010975414,1.3431047e-05,2.5276e-08,0.00665824065,6.40481e-07,1.429e-09,4.16997e-07,7.5789e-08,2.5516563e-05,5.428124e-06,2.286736e-06,2.81176e-07,3.362e-08,4.92e-10,1.6779e-08,5.245e-09,3.5e-11,1.409e-09,2.6e-11,1,4.713e-09,1.96e-09,6.4463e-08,1.436361e-06,1.216491e-06,5.326e-09,8.213e-09,8.603e-09,1.7647e-08,1.033e-09,1.3e-10,8.1856e-08,3.71e-10,3.2142e-08,2.783e-09,7.2e-11,2.484092e-06,4.76191e-07,2.90134e-07
24_3,1.16269e-06,8.5558706e-05,1.7329497e-05,3.1787e-08,0.006629540855,1.104818e-06,2.582e-09,4.38759e-07,1.96722e-07,3.0003568e-05,8.656583e-06,4.232654e-06,8.30632e-07,8.7998e-08,1.48e-09,7.6969e-08,1.9313e-08,1.99e-10,1.0234e-08,2.72e-10,1,4.682e-09,1.903e-09,6.3665e-08,2.10187e-06,1.523822e-06,6.903e-09,1.0454e-08,9.255e-09,1.829e-08,3.334e-09,2.25e-10,1.77216e-07,4.92e-10,6.1292e-08,5.912e-09,9.6e-11,3.802374e-06,5.16846e-07,5.14613e-07
